Formula #,Elapsed Time (ms),Result,Number of Variables
1,0.04100799560546875,satisfiable,4
2,0.0209808349609375,unsatisfiable,4
3,0.026941299438476562,satisfiable,4
4,0.0209808349609375,satisfiable,4
5,0.01621246337890625,unsatisfiable,4
6,0.02002716064453125,unsatisfiable,4
7,0.016927719116210938,unsatisfiable,4
8,0.08606910705566406,satisfiable,4
9,0.1900196075439453,satisfiable,4
10,0.026941299438476562,satisfiable,4
11,0.048160552978515625,satisfiable,8
12,0.05078315734863281,satisfiable,8
13,0.0400543212890625,satisfiable,8
14,0.03314018249511719,unsatisfiable,8
15,0.03790855407714844,unsatisfiable,8
16,0.027894973754882812,unsatisfiable,8
17,0.030040740966796875,unsatisfiable,8
18,0.03695487976074219,satisfiable,8
19,0.034809112548828125,satisfiable,8
20,0.029087066650390625,unsatisfiable,8
21,0.049114227294921875,unsatisfiable,12
22,0.05888938903808594,satisfiable,12
23,0.17189979553222656,satisfiable,12
24,0.05626678466796875,satisfiable,12
25,0.04982948303222656,satisfiable,12
26,0.05602836608886719,satisfiable,12
27,0.0400543212890625,unsatisfiable,12
28,0.04076957702636719,unsatisfiable,12
29,0.0400543212890625,unsatisfiable,12
30,0.04124641418457031,unsatisfiable,12
31,0.06890296936035156,satisfiable,16
32,0.05078315734863281,unsatisfiable,16
33,0.06508827209472656,satisfiable,16
34,0.06318092346191406,satisfiable,16
35,0.051975250244140625,unsatisfiable,16
36,0.06604194641113281,satisfiable,16
37,0.051021575927734375,unsatisfiable,16
38,0.064849853515625,satisfiable,16
39,0.051975250244140625,unsatisfiable,16
40,0.06508827209472656,satisfiable,16
41,0.057697296142578125,unsatisfiable,18
42,0.06222724914550781,unsatisfiable,18
43,0.06008148193359375,unsatisfiable,18
44,0.0743865966796875,satisfiable,18
45,0.056743621826171875,unsatisfiable,18
46,0.07009506225585938,satisfiable,18
47,0.07796287536621094,satisfiable,18
48,0.05602836608886719,unsatisfiable,18
49,0.07295608520507812,satisfiable,18
50,0.056743621826171875,unsatisfiable,18
51,0.06771087646484375,unsatisfiable,20
52,0.08797645568847656,satisfiable,20
53,0.08392333984375,satisfiable,20
54,0.08606910705566406,satisfiable,20
55,0.06914138793945312,unsatisfiable,20
56,0.06508827209472656,unsatisfiable,20
57,0.0667572021484375,unsatisfiable,20
58,0.09083747863769531,satisfiable,20
59,0.06318092346191406,unsatisfiable,20
60,0.06508827209472656,unsatisfiable,20
61,0.09393692016601562,satisfiable,22
62,0.08988380432128906,satisfiable,22
63,0.06818771362304688,unsatisfiable,22
64,0.08702278137207031,satisfiable,22
65,0.27871131896972656,satisfiable,22
66,0.09703636169433594,satisfiable,22
67,0.07176399230957031,unsatisfiable,22
68,0.07009506225585938,unsatisfiable,22
69,0.09179115295410156,satisfiable,22
70,0.07009506225585938,unsatisfiable,22
71,0.1888275146484375,unsatisfiable,24
72,0.102996826171875,satisfiable,24
73,0.10704994201660156,satisfiable,24
74,0.07605552673339844,unsatisfiable,24
75,0.07486343383789062,unsatisfiable,24
76,0.07390975952148438,unsatisfiable,24
77,0.1220703125,satisfiable,24
78,0.10800361633300781,unsatisfiable,24
79,0.11706352233886719,satisfiable,24
80,0.10800361633300781,satisfiable,24
81,0.09322166442871094,unsatisfiable,26
82,0.09870529174804688,satisfiable,26
83,0.09393692016601562,unsatisfiable,26
84,0.10514259338378906,unsatisfiable,26
85,0.11897087097167969,unsatisfiable,26
86,0.11491775512695312,unsatisfiable,26
87,0.24700164794921875,satisfiable,26
88,0.10991096496582031,satisfiable,26
89,0.21409988403320312,unsatisfiable,26
90,0.11110305786132812,satisfiable,26
91,0.08606910705566406,unsatisfiable,28
92,0.13208389282226562,satisfiable,28
93,0.08821487426757812,unsatisfiable,28
94,0.09608268737792969,unsatisfiable,28
95,0.08916854858398438,unsatisfiable,28
96,0.11086463928222656,satisfiable,28
97,0.1220703125,satisfiable,28
98,0.1049041748046875,satisfiable,28
99,0.0858306884765625,unsatisfiable,28
100,0.13494491577148438,satisfiable,28
