Formula #,Elapsed Time (ms),Result
1,0,Satisfying assignment found
2,0,No satisfying assignment found
3,0,Satisfying assignment found
4,0,Satisfying assignment found
5,0,No satisfying assignment found
6,0,No satisfying assignment found
7,0,No satisfying assignment found
8,0,Satisfying assignment found
9,0,Satisfying assignment found
10,0,Satisfying assignment found
11,0,Satisfying assignment found
12,0,Satisfying assignment found
13,0,Satisfying assignment found
14,0,No satisfying assignment found
15,0,No satisfying assignment found
16,0,No satisfying assignment found
17,0,No satisfying assignment found
18,0,Satisfying assignment found
19,0,Satisfying assignment found
20,0,No satisfying assignment found
21,0,No satisfying assignment found
22,0,Satisfying assignment found
23,0,Satisfying assignment found
24,0,Satisfying assignment found
25,0,Satisfying assignment found
26,0,Satisfying assignment found
27,1,No satisfying assignment found
28,1,No satisfying assignment found
29,0,No satisfying assignment found
30,0,No satisfying assignment found
31,0,Satisfying assignment found
32,6,No satisfying assignment found
33,13,Satisfying assignment found
34,0,Satisfying assignment found
35,54,No satisfying assignment found
36,7,Satisfying assignment found
37,15,No satisfying assignment found
38,0,Satisfying assignment found
39,26,No satisfying assignment found
40,0,Satisfying assignment found
41,54,No satisfying assignment found
42,13,No satisfying assignment found
43,27,No satisfying assignment found
44,3,Satisfying assignment found
45,58,No satisfying assignment found
46,3,Satisfying assignment found
47,0,Satisfying assignment found
48,27,No satisfying assignment found
49,0,Satisfying assignment found
50,55,No satisfying assignment found
51,117,No satisfying assignment found
52,29,Satisfying assignment found
53,28,Satisfying assignment found
54,9,Satisfying assignment found
55,55,No satisfying assignment found
56,27,No satisfying assignment found
57,111,No satisfying assignment found
58,30,Satisfying assignment found
59,112,No satisfying assignment found
60,106,No satisfying assignment found
61,0,Satisfying assignment found
62,0,Satisfying assignment found
63,966,No satisfying assignment found
64,33,Satisfying assignment found
65,31,Satisfying assignment found
66,0,Satisfying assignment found
67,120,No satisfying assignment found
68,119,No satisfying assignment found
69,0,Satisfying assignment found
70,125,No satisfying assignment found
71,17873,No satisfying assignment found
72,17,Satisfying assignment found
73,0,Satisfying assignment found
74,4455,No satisfying assignment found
75,562,No satisfying assignment found
76,550,No satisfying assignment found
77,146,Satisfying assignment found
78,1063,No satisfying assignment found
79,87,Satisfying assignment found
80,0,Satisfying assignment found
81,1072,No satisfying assignment found
82,0,Satisfying assignment found
83,1105,No satisfying assignment found
84,2278,No satisfying assignment found
85,2296,No satisfying assignment found
86,18804,No satisfying assignment found
87,0,Satisfying assignment found
88,138,Satisfying assignment found
89,2356,No satisfying assignment found
90,175,Satisfying assignment found
91,4780,No satisfying assignment found
92,150,Satisfying assignment found
93,4681,No satisfying assignment found
94,18849,No satisfying assignment found
95,1177,No satisfying assignment found
96,847,Satisfying assignment found
97,0,Satisfying assignment found
98,72,Satisfying assignment found
99,9845,No satisfying assignment found
100,0,Satisfying assignment found
