c Sudoku 3x3 to SAT
p cnf 27 81
1,2,3,0
4,5,6,0
7,8,9,0
10,11,12,0
13,14,15,0
16,17,18,0
19,20,21,0
22,23,24,0
25,26,27,0
-1,-2,0
-1,-3,0
-2,-3,0
-4,-5,0
-4,-6,0
-5,-6,0
-7,-8,0
-7,-9,0
-8,-9,0
-10,-11,0
-10,-12,0
-11,-12,0
-13,-14,0
-13,-15,0
-14,-15,0
-16,-17,0
-16,-18,0
-17,-18,0
-19,-20,0
-19,-21,0
-20,-21,0
-22,-23,0
-22,-24,0
-23,-24,0
-25,-26,0
-25,-27,0
-26,-27,0
1,4,7,0
2,5,8,0
3,6,9,0
10,13,16,0
11,14,17,0
12,15,18,0
19,22,25,0
20,23,26,0
21,24,27,0
1,10,19,0
2,11,20,0
3,12,21,0
4,13,22,0
5,14,23,0
6,15,24,0
7,16,25,0
8,17,26,0
9,18,27,0
1,4,7,10,13,16,19,22,25,0
2,5,8,11,14,17,20,23,26,0
3,6,9,12,15,18,21,24,27,0
10,13,16,19,22,25,28,31,34,0
11,14,17,20,23,26,29,32,35,0
12,15,18,21,24,27,30,33,36,0
19,22,25,28,31,34,37,40,43,0
20,23,26,29,32,35,38,41,44,0
21,24,27,30,33,36,39,42,45,0
28,31,34,37,40,43,46,49,52,0
29,32,35,38,41,44,47,50,53,0
30,33,36,39,42,45,48,51,54,0
37,40,43,46,49,52,55,58,61,0
38,41,44,47,50,53,56,59,62,0
39,42,45,48,51,54,57,60,63,0
46,49,52,55,58,61,64,67,70,0
47,50,53,56,59,62,65,68,71,0
48,51,54,57,60,63,66,69,72,0
55,58,61,64,67,70,73,76,79,0
56,59,62,65,68,71,74,77,80,0
57,60,63,66,69,72,75,78,81,0
64,67,70,73,76,79,82,85,88,0
65,68,71,74,77,80,83,86,89,0
66,69,72,75,78,81,84,87,90,0
73,76,79,82,85,88,91,94,97,0
74,77,80,83,86,89,92,95,98,0
75,78,81,84,87,90,93,96,99,0
